Land;Stadt;Kategorie;Stadtteil;Jahr;ledig;verheiratet;verwitwet;geschieden;lat;lon
de-sh;Kiel;Bevoelkerung;Moorsee;31_12_2016;843;1029;92;115;54.264576;10.150361
de-sh;Kiel;Bevoelkerung;Wellsee;31_12_2016;2361;2241;229;433;54.2907296;10.1622402
de-sh;Kiel;Bevoelkerung;Roenne;31_12_2016;148;222;27;33;;
de-sh;Kiel;Bevoelkerung;Altstadt;31_12_2015;368;133;95;58;54.3232694;10.1394445
de-sh;Kiel;Bevoelkerung;Vorstadt;31_12_2015;660;310;82;113;54.3196228;10.1315252
de-sh;Kiel;Bevoelkerung;Exerzierplatz;31_12_2015;4074;1350;449;515;54.3209013;10.1273377
de-sh;Kiel;Bevoelkerung;Damperhof;31_12_2015;2141;729;188;261;54.3265337;10.1336102
de-sh;Kiel;Bevoelkerung;Brunswik;31_12_2015;4031;1437;450;546;54.3284802;10.1384443
de-sh;Kiel;Bevoelkerung;Duesternbrook;31_12_2015;1647;1211;152;190;;
de-sh;Kiel;Bevoelkerung;Bluecherplatz;31_12_2015;6605;3150;473;886;;
de-sh;Kiel;Bevoelkerung;Wik;31_12_2015;9731;6425;1019;1638;54.3569525;10.1303056
de-sh;Kiel;Bevoelkerung;Ravensberg;31_12_2015;8666;2192;404;819;54.3434673;10.13196
de-sh;Kiel;Bevoelkerung;Schreventeich;31_12_2015;7738;2830;494;816;54.3276745;10.1139191
de-sh;Kiel;Bevoelkerung;Suedfriedhof;31_12_2015;9919;2996;820;1160;;
de-sh;Kiel;Bevoelkerung;Gaarden-Ost;31_12_2015;10340;4417;735;2170;54.3115439;10.1466285
de-sh;Kiel;Bevoelkerung;Gaarden-Sued/Kronsburg;31_12_2015;4971;3815;714;1038;;
de-sh;Kiel;Bevoelkerung;Hassee;31_12_2015;6469;3810;734;1233;54.3046465;10.1007406
de-sh;Kiel;Bevoelkerung;Hasseldieksdamm;31_12_2015;1132;1252;206;207;54.3198064;10.0787696
